file_path,special_info,Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos,start_time,omega,phase/pi,iae_angle,iae_position,max_angle_deviation,max_position_overshoot,control_effort_proxy,fitness_score
.\cart_pendulum_data_1\pid_set_3\22-07-csv\pid-17-19-52.csv,,500.0,350.0,2.0,-0.04,0.0,-0.02,920.53,2.0,0.0,35.611599999999996,639312.0,0.069,723.0,2278.4765299,320099.87785299
.\cart_pendulum_data_3\pid_set_7\23-07-csv\pid-12-07-13.csv,,600.0,420.0,3.5,-0.08,0.0,-0.02,2226.497,2.0,0.0,57.138000000000005,669304.0,0.0859,611.0,1945.24486418,335083.25818641804
.\cart_pendulum_data_3\pid_set_6\23-07-csv\pid-12-05-05.csv,,600.0,420.0,3.5,-0.08,0.0,-0.014,2129.313,2.0,0.0,53.501000000000005,669688.0,0.0905,724.0,1249.6005243599998,335221.0335524359
.\cart_pendulum_data_7\pid_set_9\23-07-csv\pid-15-03-08.csv,,800.0,560.0,3.5,-0.06,0.0,-0.014,12811.662,2.0,0.0,33.3184,686706.0,0.0522,727.0,1661.01125504,343731.294525504
.\cart_pendulum_data_4\pid_set_14\23-07-csv\pid-12-45-27.csv,,700.0,490.0,3.5,-0.06,0.0,-0.014,4550.563,2.0,0.0,37.7672,712296.0,0.0522,705.0,1349.71301916,356499.662301916
.\cart_pendulum_data_4\pid_set_8\23-07-csv\pid-12-35-53.csv,,700.0,490.0,2.75,-0.08,0.0,-0.014,3976.53,2.0,0.0,49.5612,722474.0,0.0767,776.0,1923.6490534999998,361683.91740535
.\cart_pendulum_data_2\pid_set_14\23-07-csv\pid-11-49-16.csv,,600.0,420.0,2.75,-0.08,0.0,-0.014,1179.555,2.0,0.0,57.8476,726544.0,0.0966,854.0,1404.10464984,363699.19546498405
.\cart_pendulum_data_1\pid_set_6\22-07-csv\pid-17-24-43.csv,,500.0,350.0,2.0,-0.06,0.0,-0.02,1181.557,2.0,0.0,56.282199999999996,736030.0,0.0828,629.0,1933.96450218,368447.00925021793
.\cart_pendulum_data_2\pid_set_15\23-07-csv\pid-11-50-53.csv,,600.0,420.0,2.75,-0.08,0.0,-0.02,1276.559,2.0,0.0,64.9444,756826.0,0.0951,756.0,2096.68137956,378904.042237956
.\cart_pendulum_data_1\pid_set_2\22-07-csv\pid-17-18-13.csv,,500.0,350.0,2.0,-0.04,0.0,-0.014,791.654,2.0,0.0,37.483599999999996,780236.0,0.0552,766.0,1160.91693552,390462.424493552
.\cart_pendulum_data_7\pid_set_7\23-07-csv\pid-14-58-36.csv,,800.0,560.0,3.5,-0.04,0.0,-0.02,12539.545,2.0,0.0,33.0734,788094.0,0.0598,997.0,4414.78681674,394754.204881674
.\cart_pendulum_data_2\pid_set_6\23-07-csv\pid-11-38-26.csv,,600.0,420.0,2.0,-0.08,0.0,-0.02,529.579,2.0,0.0,68.7396,791602.0,0.1273,874.0,1997.57223242,396313.418323242
.\cart_pendulum_data_6\pid_set_7\23-07-csv\pid-13-27-31.csv,,800.0,560.0,2.75,-0.06,0.0,-0.014,7074.828,2.0,0.0,37.4816,802322.0,0.0537,798.0,1667.37557756,401562.461857756
.\cart_pendulum_data_2\pid_set_5\23-07-csv\pid-11-36-48.csv,,600.0,420.0,2.0,-0.08,0.0,-0.014,432.395,2.0,0.0,65.3304,822582.0,0.1028,898.0,1382.7451335,411739.84371334995
.\cart_pendulum_data_5\pid_set_2\23-07-csv\pid-13-04-44.csv,,800.0,560.0,2.0,-0.08,0.0,-0.008,5708.182,2.0,0.0,49.948600000000006,837702.0,0.0736,962.0,668.51047924,419210.36904792406
.\cart_pendulum_data_9\pid_set_3\23-07-csv\pid-15-28-56.csv,,450.0,315.0,3.0,-0.03,0.0,-0.0117,180.565,2.0,0.0,34.383599999999994,849702.0,0.0552,1001.0,214.77843776,425141.610643776
.\cart_pendulum_data_1\pid_set_21\22-07-csv\pid-17-43-36.csv,,500.0,350.0,3.5,-0.04,0.0,-0.02,2344.6,2.0,0.0,41.5162,849848.0,0.0583,736.0,1943.8133934000002,425348.78863934
.\cart_pendulum_data_7\pid_set_3\23-07-csv\pid-14-52-45.csv,,800.0,560.0,2.75,-0.08,0.0,-0.014,12188.755,2.0,0.0,51.6624,858402.0,0.0767,965.0,1787.21142512,429676.276042512
.\cart_pendulum_data_8\pid_set_2\23-07-csv\pid-15-11-48.csv,,800.0,560.0,3.5,-0.08,0.0,-0.02,13331.739,2.0,0.0,55.250800000000005,892322.0,0.0982,919.0,2450.09175694,446700.60537569405
.\cart_pendulum_data_6\pid_set_2\23-07-csv\pid-13-20-45.csv,,800.0,560.0,2.0,-0.08,0.0,-0.02,6668.821,2.0,0.0,57.2956,903774.0,0.0874,793.0,3161.55439424,452476.608839424
.\cart_pendulum_data_2\pid_set_17\23-07-csv\pid-11-53-23.csv,,600.0,420.0,3.5,-0.04,0.0,-0.014,1426.944,2.0,0.0,37.1746,924730.0,0.0537,974.0,909.22306028,462725.23260602803
.\cart_pendulum_data_7\pid_set_6\23-07-csv\pid-14-56-58.csv,,800.0,560.0,3.5,-0.04,0.0,-0.014,12442.538,2.0,0.0,30.450599999999994,936048.0,0.0476,1047.0,1476.62075454,468442.10607545404
.\cart_pendulum_data_3\pid_set_4\23-07-csv\pid-12-02-34.csv,,600.0,420.0,3.5,-0.06,0.0,-0.02,1977.923,2.0,0.0,58.181799999999996,963854.0,0.0951,1021.0,2228.83306686,482470.732206686
.\cart_pendulum_data_3\pid_set_13\23-07-csv\pid-12-16-08.csv,,700.0,490.0,2.0,-0.06,0.0,-0.02,2791.878,2.0,0.0,56.5998,1080588.0,0.0859,1000.0,2697.83217702,540877.240517702
.\cart_pendulum_data_7\pid_set_10\23-07-csv\pid-15-04-44.csv,,800.0,560.0,3.5,-0.06,0.0,-0.02,12908.823,2.0,0.0,51.270599999999995,1083940.0,0.0798,1051.0,2527.32632884,542535.713232884
.\cart_pendulum_data_1\pid_set_30\22-07-csv\pid-17-55-12.csv,,600.0,420.0,2.0,-0.04,0.0,-0.02,3040.779,2.0,0.0,45.7916,1087102.0,0.0721,994.0,2452.49962734,544086.849462734
.\cart_pendulum_data_2\pid_set_3\23-07-csv\pid-11-34-17.csv,,600.0,420.0,2.0,-0.06,0.0,-0.02,281.295,2.0,0.0,66.1558,1091466.0,0.092,1022.0,2643.8695716,546334.37455716
.\cart_pendulum_data_1\pid_set_29\22-07-csv\pid-17-53-35.csv,,600.0,420.0,2.0,-0.04,0.0,-0.014,2943.61,2.0,0.0,43.3958,1100474.0,0.0644,1093.0,1093.9724486,550651.9820448599
.\cart_pendulum_data_5\pid_set_1\23-07-csv\pid-13-03-07.csv,,800.0,560.0,2.0,-0.06,0.0,-0.02,5610.489,2.0,0.0,53.5042,1154104.0,0.0982,1280.0,2762.86999948,577691.589999948
.\cart_pendulum_data_4\pid_set_6\23-07-csv\pid-12-33-21.csv,,700.0,490.0,2.75,-0.06,0.0,-0.02,3825.141,2.0,0.0,61.547200000000004,1178500.0,0.0874,1072.0,2247.28991238,589812.485591238
.\cart_pendulum_data_4\pid_set_23\23-07-csv\pid-12-59-14.csv,,800.0,560.0,2.0,-0.06,0.0,-0.014,5377.523,2.0,0.0,53.0764,1178516.0,0.0767,1257.0,2044.75284198,589820.258184198
.\cart_pendulum_data_4\pid_set_5\23-07-csv\pid-12-31-44.csv,,700.0,490.0,2.75,-0.06,0.0,-0.014,3727.941,2.0,0.0,64.99900000000001,1235086.0,0.2316,1617.0,1507.99946412,618147.8927464121
.\cart_pendulum_data_3\pid_set_10\23-07-csv\pid-12-12-42.csv,,700.0,490.0,2.0,-0.04,0.0,-0.02,2585.758,2.0,0.0,45.477599999999995,1271674.0,0.069,1158.0,2700.01368506,636429.763568506
.\cart_pendulum_data_6\pid_set_5\23-07-csv\pid-13-24-17.csv,,800.0,560.0,2.75,-0.04,0.0,-0.02,6880.434,2.0,0.0,47.8274,1390600.0,0.0736,1502.0,2369.8667647,695933.2622764701
.\cart_pendulum_data_4\pid_set_12\23-07-csv\pid-12-42-55.csv,,700.0,490.0,3.5,-0.04,0.0,-0.02,4398.794,2.0,0.0,55.414,1519612.0,0.069,1447.0,4343.54796238,760640.7897962381
.\cart_pendulum_data_4\pid_set_21\23-07-csv\pid-12-56-42.csv,,800.0,560.0,2.0,-0.04,0.0,-0.02,5225.81,2.0,0.0,50.0678,1583030.0,0.0859,1706.0,2415.46703626,792198.140003626
.\cart_pendulum_data_4\pid_set_3\23-07-csv\pid-12-29-12.csv,,700.0,490.0,2.75,-0.04,0.0,-0.02,3576.342,2.0,0.0,60.419799999999995,1672222.0,0.1074,1986.0,2105.8396574599997,836839.945765746
